BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS,CIDADE,procurar,raw,LATITUDE,LONGITUDE,POINT
Fazenda Grande II,1151,63.38,18159,1106,Salvador,"Salvador, Fazenda Grande II","Fazenda Grande II, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-128.916.116,-383.938.909,"12 53m 29.8018s S, 38 23m 38.0072s W"
Fazenda Grande III,408,54.66,7464,394,Salvador,"Salvador, Fazenda Grande III",,-12.903.462,-38.395.919,
Fazenda Grande IV,400,83.79,4774,383,Salvador,"Salvador, Fazenda Grande IV",,-12.907.320,-383.886,
Federacao,4615,126.92,36362,4424,Salvador,"Salvador, Federacao","Federação, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.952.959,-385.070.634,"12 59m 43.0652s S, 38 30m 25.4282s W"
Garcia,1708,120.45,14180,1624,Salvador,"Salvador, Garcia","Garcia, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40100-200, Brasil",-129.924.205,-385.125.908,"12 59m 32.7138s S, 38 30m 45.3269s W"
Graca,2514,136.23,18454,2377,Salvador,"Salvador, Graca","Graça, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.994.381,-385.226.463,"12 59m 57.9772s S, 38 31m 21.5267s W"
Granjas Rurais Presidente Vargas,200,100.1,1998,186,Salvador,"Salvador, Granjas Rurais Presidente Vargas",,-12.963.956,-38.477.451,
Horto Florestal,1316,0.0,0,1286,Salvador,"Salvador, Horto Florestal","Horto Florestal, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-130.007.732,-384.874.101,"13 0m 2.78352s S, 38 29m 14.6764s W"
IAPI,2641,108.01,24452,2513,Salvador,"Salvador, IAPI","IAPI, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40354-135, Brasil",-129.528.018,-384.800.883,"12 57m 10.0865s S, 38 28m 48.3179s W"
Ilha Amarela,488,0.0,0,467,Salvador,"Salvador, Ilha Amarela","Ilha Amarela, Itacaranha, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.289.206.595,-384.730.414.838.599,"12 53m 31.4374s S, 38 28m 22.9493s W"
Ilha de Bom Jesus dos Passos,200,136.52,1465,200,Salvador,"Salvador, Ilha de Bom Jesus dos Passos","Ilha de Bom Jesus dos Passos, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil, Ilha de Bom Jesus dos Passos",-1.276.063.295,-3.864.115.852.262.280,"12 45m 38.2786s S, 38 38m 28.1707s W"
Ilha de Mare,239,56.42,4236,232,Salvador,"Salvador, Ilha de Mare","Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil, Ilha de Maré",-12.770.587.899.999.900,-38.525.477.942.266.800,"12 46m 14.1164s S, 38 31m 31.7206s W"
Ilha dos Frades,36,49.11,733,34,Salvador,"Salvador, Ilha dos Frades","Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil, Ilha dos Frades",-1.278.622.045,-3.863.531.556.020.410,"12 47m 10.3936s S, 38 38m 7.13602s W"
Imbui,4595,173.13,26540,4453,Salvador,"Salvador, Imbui","Imbuí, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.697.591,-384.350.431,"12 58m 11.1328s S, 38 26m 6.15516s W"
Itacaranha,1325,82.36,16088,1246,Salvador,"Salvador, Itacaranha","Itacaranha, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40711-160, Brasil",-128.891.259,-38.482.089,"12 53m 20.8532s S, 38 28m 55.5204s W"
